name,latitude,longitude,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,us_l3name,grtgroup,soil pH in H20,soil organic carbon,soil sand,soil clay,soil bulk density,elevation,slope,aspect,gHM,NDVI,EVI,NBRT,greenness,landcover,impervious,percent_tree_cover,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12
K0673_G5,34.084227,-118.228048,18.3,12.0,54.0,35.86,29.9,7.7,22.2,14.4,22.5,23.2,14.1,397.0,91.0,0.0,99.0,255.0,5.0,13.0,232.0,Southern California/Northern Baja Coast,149.0,7.5,0.4,45.0,24.0,14.8,90.88279724121094,1.5663038399133131,100.06914346402695,0.8848928809165955,0.13971002399921417,0.08962684044097156,0.9655323452930101,0.26029467582702637,23.0,58.0,10.0,0.1624000072479248,0.13885000348091125,0.124549999833107,0.12364999949932098,0.13244999945163727,0.14839999377727509,0.16015000641345978,0.15449999272823334,0.1647000014781952,0.0544000007212162,0.0013000000035390258,0.1344500035047531,0.11469999700784683
K0674_G5,34.08455,-118.228053,18.3,12.0,54.0,35.86,29.9,7.7,22.2,14.4,22.5,23.2,14.1,397.0,91.0,0.0,99.0,255.0,5.0,13.0,232.0,Southern California/Northern Baja Coast,149.0,7.5,0.4,45.0,24.0,14.3,91.80513763427734,1.8338255137874482,229.84445286999068,0.8848928809165955,0.16558623313903809,0.16642720988073656,0.9655323452930101,0.26029467582702637,23.0,58.0,10.0,0.1624000072479248,0.13885000348091125,0.124549999833107,0.12364999949932098,0.13314999639987946,0.1547500044107437,0.16535000503063202,0.15755000710487366,0.17204999923706055,0.06310000270605087,0.0013000000035390258,0.13865000009536743,0.11469999700784683
K0676_B2,34.08449,-118.228157,18.3,12.0,54.0,35.86,29.9,7.7,22.2,14.4,22.5,23.2,14.1,397.0,91.0,0.0,99.0,255.0,5.0,13.0,232.0,Southern California/Northern Baja Coast,149.0,7.5,0.4,45.0,24.0,14.8,90.88279724121094,0.8489339995518077,100.06914346402695,0.8848928809165955,0.16558623313903809,0.16642720988073656,0.9655323452930101,0.26029467582702637,23.0,58.0,10.0,0.1624000072479248,0.13885000348091125,0.124549999833107,0.12364999949932098,0.13244999945163727,0.1547500044107437,0.16535000503063202,0.15755000710487366,0.17204999923706055,0.06310000270605087,0.0013000000035390258,0.13865000009536743,0.11469999700784683
K0676_T9,34.084721,-118.228145,18.3,12.0,54.0,35.86,29.9,7.7,22.2,14.4,22.5,23.2,14.1,397.0,91.0,0.0,99.0,255.0,5.0,13.0,232.0,Southern California/Northern Baja Coast,149.0,7.5,0.4,45.0,24.0,13.8,91.80513763427734,1.8338255137874482,229.84445286999068,0.8848928809165955,0.16558623313903809,0.16642720988073656,0.9638716649797866,0.26029467582702637,23.0,58.0,10.0,0.1624000072479248,0.13885000348091125,0.124549999833107,0.12364999949932098,0.13519999384880066,0.1547500044107437,0.16535000503063202,0.15755000710487366,0.17204999923706055,0.06310000270605087,0.0013000000035390258,0.14014999568462372,0.11469999700784683
K0677_A1,34.084482,-118.228157,18.3,12.0,54.0,35.86,29.9,7.7,22.2,14.4,22.5,23.2,14.1,397.0,91.0,0.0,99.0,255.0,5.0,13.0,232.0,Southern California/Northern Baja Coast,149.0,7.5,0.4,45.0,24.0,14.8,90.88279724121094,0.8489339995518077,100.06914346402695,0.8848928809165955,0.16558623313903809,0.16642720988073656,0.9655323452930101,0.26029467582702637,23.0,58.0,10.0,0.1624000072479248,0.13885000348091125,0.124549999833107,0.12364999949932098,0.13244999945163727,0.1547500044107437,0.16535000503063202,0.15755000710487366,0.17204999923706055,0.06310000270605087,0.0013000000035390258,0.13865000009536743,0.11469999700784683
GL_DB1,34.154628,-118.276434,18.1,12.5,54.0,36.9,30.2,7.1,23.1,14.1,22.5,23.2,13.7,381.0,85.0,0.0,98.0,235.0,5.0,12.0,219.0,Southern California/Northern Baja Coast,289.0,7.5,0.4,48.0,23.0,13.7,139.0814208984375,2.5945218627959896,183.90144208980877,0.9409082531929016,0.13767988979816437,0.13016963495133474,0.9583384492438937,0.11442150920629501,24.0,81.0,2.0,0.1673000007867813,0.1445000022649765,0.13130000233650208,0.13019999861717224,0.13490000367164612,0.15049999952316284,0.15995000302791595,0.14810000360012054,0.15995000302791595,0.05974999815225601,0.0013000000035390258,0.1476999968290329,0.12540000677108765
GL_DB2,34.154684,-118.276416,18.1,12.5,54.0,36.9,30.2,7.1,23.1,14.1,22.5,23.2,13.7,381.0,85.0,0.0,98.0,235.0,5.0,12.0,219.0,Southern California/Northern Baja Coast,289.0,7.5,0.4,48.0,23.0,13.7,139.0814208984375,2.6831713015638736,183.90144208980877,0.9409082531929016,0.13767988979816437,0.13016963495133474,0.9583384492438937,0.11442150920629501,24.0,81.0,2.0,0.1673000007867813,0.1445000022649765,0.13130000233650208,0.13019999861717224,0.13490000367164612,0.15049999952316284,0.15995000302791595,0.14810000360012054,0.15995000302791595,0.05974999815225601,0.0013000000035390258,0.1476999968290329,0.12540000677108765
GL_PN1,34.154643,-118.276535,18.1,12.5,54.0,36.9,30.2,7.1,23.1,14.1,22.5,23.2,13.7,381.0,85.0,0.0,98.0,235.0,5.0,12.0,219.0,Southern California/Northern Baja Coast,289.0,7.5,0.4,48.0,23.0,13.7,139.0814208984375,2.6831713015638736,165.77326277080445,0.9409082531929016,0.13767988979816437,0.12129836791829407,0.9583384492438937,0.11442150920629501,24.0,81.0,2.0,0.1673000007867813,0.1445000022649765,0.13130000233650208,0.13715000450611115,0.14014999568462372,0.1545500010251999,0.15995000302791595,0.14810000360012054,0.15995000302791595,0.05974999815225601,0.0013000000035390258,0.14904999732971191,0.13269999623298645
GL_PN2,34.154764,-118.276601,18.1,12.5,54.0,36.9,30.2,7.1,23.1,14.1,22.5,23.2,13.7,381.0,85.0,0.0,98.0,235.0,5.0,12.0,219.0,Southern California/Northern Baja Coast,289.0,7.5,0.4,48.0,23.0,13.7,140.55747985839844,2.6831713015638736,165.77326277080445,0.9409082531929016,0.13767988979816437,0.13016963495133474,0.9583384492438937,0.12521077692508698,24.0,81.0,2.0,0.1673000007867813,0.1445000022649765,0.13130000233650208,0.13019999861717224,0.13490000367164612,0.1545500010251999,0.15995000302791595,0.14810000360012054,0.15995000302791595,0.05974999815225601,0.0013000000035390258,0.14904999732971191,0.12540000677108765
K0593_T9,34.155282,-118.275211,18.1,12.5,54.0,36.9,30.2,7.1,23.1,14.1,22.5,23.2,13.7,381.0,85.0,0.0,98.0,235.0,5.0,12.0,219.0,Southern California/Northern Baja Coast,289.0,7.5,0.4,43.0,23.0,14.0,141.48580932617188,1.256143569250775,188.31257160785,0.9409082531929016,0.14370834827423096,0.12129836791829407,0.9593475201127245,0.16660229861736298,23.0,81.0,4.0,0.16899999976158142,0.14509999752044678,0.12950000166893005,0.12999999523162842,0.13490000367164612,0.1579499989748001,0.16744999587535858,0.15424999594688416,0.16904999315738678,0.059950001537799835,0.0013500000350177288,0.14904999732971191,0.13089999556541443
