sum.taxonomy	R1_AS_DB1	R1_AS_DB2	R1_AS_PN1	R1_AS_PN2	R1_BC_PN1	R1_BC_PN2	R1_BP_DB1	R1_BP_DB2	R1_BP_DB3	R1_BP_PN1	R1_BP_PN2	R1_CC_DB2	R1_CC_PN1	R1_CC_PN2	R1_EV_DB1	R1_EV_DB2	R1_EV_PN1	R1_EV_PN2	R1_GL_DB1	R1_GL_DB2	R1_GL_PN1	R1_GL_PN2	R1_GN_DB1	R1_GN_DB2	R1_GN_PN1	R1_GN_PN2	R1_K0526_B2	R1_K0526_C3	R1_K0526_G5	R1_K0527_B2	R1_K0527_B2_2	R1_K0527_C3	R1_K0527_E4	R1_K0527_K6	R1_K0527_L7	R1_K0527_T9	R1_K0528_A1	R1_K0528_E4	R1_K0528_G5	R1_K0528_K6	R1_K0528_L7	R1_K0528_T9	R1_K0529_A1	R1_K0529_B2	R1_K0529_C3	R1_K0529_G5	R1_K0529_K6	R1_K0529_L7	R1_K0529_M8	R1_K0529_T9	R1_K0530_A1	R1_K0530_B2	R1_K0530_C3	R1_K0530_E4	R1_K0530_K6	R1_K0530_L7	R1_K0530_M8	R1_K0539_L7	R1_K0585_T9	R1_K0593_A1	R1_K0593_C3	R1_K0593_E4	R1_K0593_G5	R1_K0593_K6	R1_K0593_M8	R1_K0593_T9	R1_K0594_A1	R1_K0594_E4	R1_K0594_L7	R1_K0594_T9	R1_K0595_A1	R1_K0595_B2	R1_K0595_G5	R1_K0595_K6	R1_K0595_L7	R1_K0595_M8	R1_K0595_T9	R1_K0596_B2	R1_K0596_C3	R1_K0596_E4	R1_K0596_G5	R1_K0596_K6	R1_K0596_L7	R1_K0596_T9	R1_K0597_C3	R1_K0597_E4	R1_K0597_K6	R1_K0597_L7	R1_K0597_M8	R1_K0597_T9	R1_K0599_A1	R1_K0599_E4	R1_K0599_G5	R1_K0599_K6	R1_K0599_L7	R1_K0599_M8	R1_K0599_T9	R1_K0672_A1	R1_K0672_B2	R1_K0672_C3	R1_K0672_G5	R1_K0672_T9	R1_K0673_A1	R1_K0673_G5	R1_K0674_E4	R1_K0674_G5	R1_K0674_M8	R1_K0676_B2	R1_K0676_M8	R1_K0676_T9	R1_K0677_A1	R1_K0677_B2	R1_K0677_E4	R1_K0677_L7	R1_K0678_B2	R1_K0678_E4	R1_K0678_K6	R1_K0678_L7	R1_K0679_B2	R1_K0679_M8	R1_K0701_C3	R1_LB_DB1	R1_LB_DB1reserve	R1_LB_DB2	R1_LB_DB2reserve	R1_LB_PN1	R1_LB_PN2	R1_MW_DB1	R1_MW_DB2	R1_MW_PN1	R1_MW_PN2	R1_SD_DB1	R1_SD_DB2	R1_SD_PN1	R1_SD_PN2	R1_TW_DB1	R1_TW_DB2	R1_TW_PN1	R1_TW_PN2	R1_VW_DB1	R1_VW_PN1	R1_VW_PN2
Eukaryota;Chordata;Aves;Pelecaniformes;Ardeidae;Nycticorax;Nycticorax nycticorax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	7	0	0	0	52	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Mammalia;Carnivora;Canidae;Canis;Canis lupus	0	191	0	0	0	0	0	0	0	13	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	32	28	0	0	0	148	0	0	0	0	0	651	0	0	251	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	57	0	7221	0	139	0	0	187	0	459	131	13	0	0	0	0	4817	0	0	155	40	0	114	0	674	7	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	381	15	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Mammalia;Carnivora;Felidae;Felis;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	702	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Mammalia;Carnivora;Felidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Mammalia;Didelphimorphia;Didelphidae;Didelphis;Didelphis virginiana	15	0	12	0	212	12	0	0	0	0	0	0	18	0	0	0	0	0	0	30	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	84	0	86	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	730	0	0	0	4496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	4183	124	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	9	0	11	0	0	0	0	0	0	0
Eukaryota;Chordata;Mammalia;Didelphimorphia;Didelphidae;NA;	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	55	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Mammalia;Lagomorpha;Leporidae;Sylvilagus;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	152	0	0	0	0	0	0	0	0	2571	0	0	0	0	0	0	0	0	0	0	0	67	0	0	52	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	337	287	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Mammalia;Lagomorpha;Leporidae;Sylvilagus;Sylvilagus bachmani	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Mammalia;NA;;NA;	0	0	0	0	0	0	9	0	0	0	0	0	19	0	0	0	0	0	0	0	0	24	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	1	2	0	0	8	0	0	0	0	0	0	0	1	2	0	0	0	719	0	0	0	0	0	0	0	0	16	0	0	313	0	0	0	0	301	0	1	0	0	0	0	1	0	6	0	4	0	0	0	2	0	0	0	0	0	0	0	0	164	0	0	0	0	3	6	0	0	7	0	0	0	0	0	0	1	0	2	0	4	0	0	0	0	0	0	0	0	0	81	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1
Eukaryota;Chordata;Mammalia;NA;Bovidae;Bos;Bos taurus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	28	110	203	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	40	0	0	12	0	0	0	0	34	0	0	0
Eukaryota;Chordata;Mammalia;NA;Cervidae;NA;	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	18
Eukaryota;Chordata;Mammalia;NA;Suidae;Sus;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	5	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Mammalia;NA;Suidae;Sus;Sus scrofa	8	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	10	0	12	0	0	0	0	0	0	0	0	0	0	0	311	0	0	0	2359	0	0	0	505	0	41	0	0	1369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3009	45	0	0	0	0	0	0	0	0	0	0	749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	9	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens	395	96	254	19	1360	669	1713	68	343	563	193	6083	531	226	100	239	61	367	29229	115	314	4416	632	499	256	252	7687	3889	9858	42	82	156	35	48	1202	1387	2673	9713	95	10103	1346	2063	65	13223	8073	4688	2522	13696	2857	7359	2132	3002	203	11587	1327	1229	1610	25857	11398	25395	7887	12094	611	1467	950	209	3009	3595	1864	2175	26	18865	663	39	7464	7577	902	4701	4624	607	1953	355	2825	2546	1760	6376	4253	3109	5049	8433	341	43690	3764	66	1013	7464	8971	15335	6106	3930	7596	8485	7831	0	5144	2308	9520	6176	1863	2137	1648	8318	9407	1450	2395	3316	27286	220	16418	23279	26	1252	150	1762	503	199	1	224	9572	701	1041	238	368	447	269	417	41	170	489	1186	473	15036
Eukaryota;Chordata;Mammalia;Primates;Hominidae;NA;	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	1	121	0	1	0	0	804	0	0	0	0	0	0	0	0	0	0	356	0	516	0	0	0	29	0	7	0	0	165	305	9	0	0	1371	0	0	523	0	0	0	0	226	0	1524	0	0	0	0	0	0	0	50	7	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1665	0	0	0	4223	0	25	1	0	537	0	0	31	0	1210	0	0	0	0	762	0	1	188	845	0	0	1478	24	0	0	0	6	8	0	1	0	505	0	64	0	0	0	4	0	0	0	0	48	0	421
Eukaryota;Chordata;Mammalia;Primates;Hominidae;Pan;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	376	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	174	0	506	0	0	0	52	0	0	0	0	3	0	251	126	0	5	0	0	0	0	121	0	1141	0	0	2311	0	0	0	0	0	0	0	0	6106	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	0	0	0	508	0	0	0	0	391	0	0	0	0	0	0	177	0	2099	0	0	0	0	0	0	0	320	0	0	0	0	231	0	1	0	0	0	0	0	0	0	0	0	88	528
Eukaryota;Chordata;Mammalia;Primates;NA;;	0	0	0	0	0	0	0	0	0	30	0	15	5	0	0	0	0	0	0	0	0	299	3	0	0	0	0	0	0	0	0	0	0	0	0	0	28	17	0	207	0	92	0	0	0	0	0	21	0	2	204	11	0	1	0	98	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	1	0	0	0	0	0	0	0	0	0	40	0	0	3	0	0	1	0	0	0	12	0	0	1	26	31	378	1241	0	41	0	0	0	0	0	0	0	0	0	0	0	712	0	87	0	0	0	0	0	11	0	12342	38	128	0	0	0	0	0	0	0	0	0	0	24	0	305
Eukaryota;Chordata;Mammalia;Rodentia;Cricetidae;NA;	0	0	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	5	0	0	0	0	1412	0	0	0	0	0	0	0	0	0	0	0	0	0	8064	0	0	0	0	0	0	51	193	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Mammalia;Rodentia;Cricetidae;Neotoma;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	15	0	22	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1055	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Mammalia;Rodentia;Cricetidae;Neotoma;Neotoma lepida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	246	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0
Eukaryota;Chordata;Mammalia;Rodentia;Cricetidae;Neotoma;Neotoma macrotis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	3692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	942	0	0	0	0	0	0	66	0	0	0	0	0	559	0	0	26	153	0	0	0	0	0	17	0	0	0	0	0	246	0	0	0	28	0	0	0	0	0	13	0	0	0	0	846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Mammalia;Rodentia;Cricetidae;Peromyscus;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
