sum.taxonomy	R3_AS_DB1	R3_AS_DB2	R3_AS_PN1	R3_BC_DB1	R3_BC_DB2	R3_BC_PN1	R3_BC_PN2	R3_BP_DB1	R3_BP_PN1	R3_BP_PN2	R3_CC_DB1	R3_CC_DB2	R3_CC_PN1	R3_CC_PN2	R3_EV_DB1	R3_EV_DB2	R3_EV_PN2	R3_GL_DB1	R3_GL_DB2	R3_GL_PN1	R3_GN_DB1	R3_GN_DB2	R3_GN_PN1	R3_GN_PN2	R3_K0551_L7	R3_K0553_G5	R3_K0553_L7	R3_K0553_M8	R3_K0554_A1	R3_K0554_C3	R3_K0554_E4	R3_K0554_G5	R3_K0554_K6	R3_K0554_L7	R3_K0554_T9	R3_K0556_E4	R3_K0556_G5	R3_K0556_T9	R3_K0557_A1	R3_K0557_B2	R3_K0557_C3	R3_K0557_E4	R3_K0557_K6	R3_K0557_L7	R3_K0557_T9	R3_K0559_C3	R3_K0559_G5	R3_K0560_A1	R3_K0560_G5	R3_K0560_K6	R3_K0560_M8	R3_K0560_T9	R3_K0563_M8	R3_K0568_A1	R3_K0568_C3	R3_K0568_G5	R3_K0568_K6	R3_K0568_L7	R3_K0568_M8	R3_K0569_A1	R3_K0569_B2	R3_K0569_G5	R3_K0569_K6	R3_K0569_L7	R3_K0569_T9	R3_K0591_A1	R3_K0591_E4	R3_K0591_G5	R3_K0591_K6	R3_K0591_T9	R3_K0592_A1	R3_K0592_B2	R3_K0592_C3	R3_K0592_E4	R3_K0592_G5	R3_K0592_K6	R3_K0592_L7	R3_K0592_M8	R3_K0598_B2	R3_K0598_C3	R3_K0598_E4	R3_K0598_K6	R3_K0598_L7	R3_K0598_T9	R3_K0600_B2	R3_K0600_C3	R3_K0600_E4	R3_K0600_G5	R3_K0600_K6	R3_K0600_M8	R3_K0782_E4	R3_K0782_M8	R3_K0782_T9	R3_K0783_C3	R3_K0787_A1	R3_K0787_B2	R3_K0787_E4	R3_K0787_K6	R3_K0787_L7	R3_K0787_M8	R3_K0788_B2	R3_K0788_E4	R3_K0788_K6	R3_K0790_A1	R3_K0790_B2	R3_K0790_G5	R3_K0790_K6	R3_K0790_L7	R3_K0790_M8	R3_K0790_T9	R3_LB_DB1	R3_LB_DB2	R3_LB_PN1	R3_LB_PN2	R3_MW_DB1	R3_MW_DB2	R3_MW_PN1	R3_MW_PN2	R3_SD_DB1	R3_SD_DB2	R3_SD_PN1	R3_SD_PN2	R3_TW_DB1	R3_TW_DB2	R3_TW_PN1	R3_TW_PN2	R3_VW_DB1	R3_VW_DB2	R3_VW_PN1
Eukaryota;Chordata;Aves;Charadriiformes;Recurvirostridae;NA;	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0
Eukaryota;Chordata;Aves;Charadriiformes;Scolopacidae;Gallinago;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Aves;Charadriiformes;Scolopacidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	631	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	19	0	0	105	139	534	0	0	0	0
Eukaryota;Chordata;Aves;Columbiformes;Columbidae;Columba;	0	0	0	0	0	0	0	0	0	0	0	26	0	0	32	20	0	0	0	253	0	0	0	16	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	14	0	40	0	25	0	0	65	0	0	0	0	0	313	0	0	6	0	19	0	0	0	0	0	0	20	0	0	0	0	1635	0	0	0	0	0	0	43	0	0	0	0	0	4	0	0	11	16	0	20	0	0	17	0	0	0	284	0	0	0	0	12	0	67	0	0	0	0	0	0	0	407	2217	0	0	0	0
Eukaryota;Chordata;Aves;Columbiformes;Columbidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	4	0	1	0	372	0	0	0	0	4	0	0	1	0	0	0	0	1	0	0	15	0	0	0	0	1	0	0	0	0	0	164	0	0	98	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	2	0	0
Eukaryota;Chordata;Aves;Columbiformes;Columbidae;Patagioenas;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	459	0	0	0	0	0	16	80	14	85	0	0	0	24	0	0	35	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Gallus;Gallus gallus	0	52	0	5438	79	1496	1833	0	0	0	1	0	17	0	19	1	0	0	0	0	72	77	38	0	0	0	0	0	0	183	0	0	0	734	0	0	0	0	0	0	0	22	0	7	0	0	0	0	0	162	973	1	0	12	0	0	0	0	111	4127	46	0	0	0	0	10	0	492	0	0	53	0	0	0	0	0	43	48	0	0	0	0	0	0	20	0	0	13	0	27	46	0	0	0	0	0	0	0	1003	3202	0	234	0	91	22	391	0	0	0	11	20	0	37	41	0	360	185	60	13	3	0	13	0	0	0	0	0	0	0
Eukaryota;Chordata;Aves;Galliformes;Phasianidae;NA;	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	2	34	0	0	0	0	0	0	455	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	1	0	15	0	0	0	0	143	17	0	0	0	0
Eukaryota;Chordata;Aves;Gruiformes;Rallidae;Fulica;	0	0	0	0	0	0	0	57	0	0	0	175	0	0	1	0	0	0	0	778	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	544	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	1	0	0	282	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	74	0	0	0	0	0	0	0	10	0	0	0	0	0
Eukaryota;Chordata;Aves;Gruiformes;Rallidae;Fulica;Fulica americana	0	0	0	0	362	0	0	454	37	0	237	223	7	0	130	162	0	0	0	7935	465	72	70	0	0	0	0	0	3	42	0	8	0	301	0	0	0	0	0	0	62	0	0	0	158	0	0	124	0	0	109	110	56	0	5	0	0	0	163	0	0	23	0	121	0	0	3240	1691	0	0	58	0	0	0	0	0	0	323	420	0	0	0	0	0	28	5	0	0	0	55	0	0	0	0	36	282	115	0	36	29	0	194	0	0	0	34	10	597	132	3588	100	0	73	174	0	182	9	55	0	0	0	0	81	653	19	0	0	0	0
Eukaryota;Chordata;Aves;NA;;NA;	0	0	0	8	8	1	0	9	1	0	3	3	0	0	3	10	0	0	0	68	19	2	5	1	0	0	0	0	3	1	0	1	0	5	0	0	0	0	0	0	0	7	0	3	11	0	0	0	0	11	2	3	0	8	0	0	1	1	4	35	0	5	0	3	0	0	63	36	0	0	69	0	0	0	5	7	6	3	3	0	2	1	2	0	0	0	0	2	0	9	1	986	0	0	0	9	2	0	27	6	0	70	0	7	0	3	0	10	4	37	3	0	2	8	0	7	0	3	0	0	0	0	2	40	9	0	0	0	0
Eukaryota;Chordata;Aves;Passeriformes;Aegithalidae;Aegithalos;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Aves;Passeriformes;Corvidae;Corvus;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	78	68	0	0	0	0	0
Eukaryota;Chordata;Aves;Passeriformes;Fringillidae;NA;	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Eukaryota;Chordata;Aves;Passeriformes;NA;;	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	19	0	0	0	0	21	0	0	0	0	0	39	0	0	32	0	6	0	145	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	1	112	0	26	14	0	0	1	0	32	1	6	0	0	41	0	5	0	0	0	0	0	0	0	0	0	0	0	100	0	0	189	0	0	0	0	9	0	304	0	1	7	0	0	0	0	0	0	30	0	47	0	16	0	3	102	0	0	1218	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	36	1	0	0	0	0
Eukaryota;Chordata;Aves;Passeriformes;Sturnidae;NA;	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Aves;Passeriformes;Sylviidae;Regulus;Regulus calendula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	31	7	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Aves;Passeriformes;Turdidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	113	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
